Advertiser,Advertiser ID,Advertiser Currency,Insertion Order,Insertion Order ID,Line Item,Line Item ID,Date,Campaign,Campaign ID,Impressions,Billable Impressions,Clicks,Click Rate (CTR),Revenue (Adv Currency),Media Cost (Advertiser Currency),Start Views,1st Quartile Views,Midpoint Views,3rd Quartile Views,Complete Views,Video Completion Rate,Viewable Impressions,Measurable Impressions,Viewability,For Checking (Measurable-Impression),Start Views-Impression
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08520|South Asian - Sports Keeda - Chicken McCRISPY - Interstitials,1025446593,LI08520|South Asian - Sports Keeda - Chicken McCRISPY - Interstitials,23446446177,08/02/2026,CA01376,56461238,256,256,1,0.39%,10.841195,9.900635,0,0,0,0,0,0.00%,199,254,78.35%,-2,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08521|South Asian - Sports Keeda - Chicken Wrap - Interstitials,1025786839,LI08521|South Asian - Sports Keeda - Chicken Wrap - Interstitials,23455947733,08/02/2026,CA01376,56461238,251,251,1,0.40%,10.373342,9.473372,0,0,0,0,0,0.00%,180,233,77.25%,-18,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08523|South Asian - Sports Keeda - Range - Interstitials,1025456643,LI08523|South Asian - Sports Keeda - Range - Interstitials,23451471827,08/02/2026,CA01376,56461238,255,255,1,0.39%,10.948047,9.998216,0,0,0,0,0,0.00%,182,238,76.47%,-17,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08524|South Asian - Times of India - Chicken McCRISPY - Interstitials,1025379500,LI08524|South Asian - Times of India - Chicken McCRISPY - Interstitials,23455951813,08/02/2026,CA01376,56461238,260,260,1,0.38%,10.61136,9.69074,0,0,0,0,0,0.00%,216,251,86.06%,-9,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08525|South Asian - Times of India - Chicken Wrap - Interstitials,1025379743,LI08525|South Asian - Times of India - Chicken Wrap - Interstitials,23451469427,08/02/2026,CA01376,56461238,262,262,1,0.38%,10.679936,9.753366,0,0,0,0,0,0.00%,212,250,84.80%,-12,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08527|South Asian - Times of India - Range - Interstitials,1025441469,LI08527|South Asian - Times of India - Range - Interstitials,23451469862,08/02/2026,CA01376,56461238,263,263,1,0.38%,10.790805,9.854616,0,0,0,0,0,0.00%,204,246,82.93%,-17,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08528|South Asian - Hindustan Times - Chicken McCRISPY - Interstitials,1025457102,LI08528|South Asian - Hindustan Times - Chicken McCRISPY - Interstitials,23455951618,08/02/2026,CA01376,56461238,257,257,1,0.39%,10.881006,9.936992,0,0,0,0,0,0.00%,205,241,85.06%,-16,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08529|South Asian - Hindustan Times - Chicken Wrap - Interstitials,1025786842,LI08529|South Asian - Hindustan Times - Chicken Wrap - Interstitials,23446452672,08/02/2026,CA01376,56461238,256,256,1,0.39%,11.491419,10.494447,0,0,0,0,0,0.00%,198,252,78.57%,-4,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08531|South Asian - Hindustan Times - Range - Interstitials,1025794285,LI08531|South Asian - Hindustan Times - Range - Interstitials,23446501416,08/02/2026,CA01376,56461238,268,268,1,0.37%,10.324163,9.428459,0,0,0,0,0,0.00%,195,260,75.00%,-8,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08532|South Asian - Indian Express - Chicken McCRISPY - Interstitials,1025794927,LI08532|South Asian - Indian Express - Chicken McCRISPY - Interstitials,23456003461,08/02/2026,CA01376,56461238,278,278,1,0.36%,11.922359,10.887999,0,0,0,0,0,0.00%,197,261,75.48%,-17,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08533|South Asian - Indian Express - Chicken Wrap - Interstitials,1025786905,LI08533|South Asian - Indian Express - Chicken Wrap - Interstitials,23446496778,08/02/2026,CA01376,56461238,282,282,1,0.35%,11.197119,10.225679,0,0,0,0,0,0.00%,203,270,75.19%,-12,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08535|South Asian - Indian Express - Range - Interstitials,1025380631,LI08535|South Asian - Indian Express - Range - Interstitials,23456004142,08/02/2026,CA01376,56461238,280,280,1,0.36%,11.439552,10.447079,0,0,0,0,0,0.00%,208,266,78.20%,-14,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08536|South Asian - India Times - Chicken McCRISPY - Interstitials,1025793094,LI08536|South Asian - India Times - Chicken McCRISPY - Interstitials,23456004148,08/02/2026,CA01376,56461238,258,258,1,0.39%,10.566541,9.649809,0,0,0,0,0,0.00%,201,245,82.04%,-13,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08537|South Asian - India Times - Chicken Wrap - Interstitials,1025379809,LI08537|South Asian - India Times - Chicken Wrap - Interstitials,23446500870,08/02/2026,CA01376,56461238,263,263,1,0.38%,10.830798,9.89114,0,0,0,0,0,0.00%,216,262,82.44%,-1,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08539|South Asian - India Times - Range - Interstitials,1025714341,LI08539|South Asian - India Times - Range - Interstitials,23446501836,08/02/2026,CA01376,56461238,252,252,1,0.40%,10.194642,9.310175,0,0,0,0,0,0.00%,195,235,82.98%,-17,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08540|South Asian - ESPN Cric Info - Chicken McCRISPY - Interstitials,1025457594,LI08540|South Asian - ESPN Cric Info - Chicken McCRISPY - Interstitials,23446545351,08/02/2026,CA01376,56461238,253,253,1,0.40%,11.050094,10.09141,0,0,0,0,0,0.00%,195,242,80.58%,-11,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08541|South Asian - ESPN Cric Info - Chicken Wrap - Interstitials,1025457591,LI08541|South Asian - ESPN Cric Info - Chicken Wrap - Interstitials,23456050027,08/02/2026,CA01376,56461238,254,254,1,0.39%,10.317028,9.421943,0,0,0,0,0,0.00%,183,235,77.87%,-19,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08543|South Asian - ESPN Cric Info - Range - Interstitials,1025796001,LI08543|South Asian - ESPN Cric Info - Range - Interstitials,23451564158,08/02/2026,CA01376,56461238,253,253,1,0.40%,11.603475,10.596781,0,0,0,0,0,0.00%,192,240,80.00%,-13,0
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08546|South Asian - Sports Keeda - Video,1025799082,LI08546|South Asian - Sports Keeda - Video,23446703991,08/02/2026,CA01376,56461238,954,954,5,0.52%,50.344551,45.976759,879,845,799,748,699,79.52%,765,876,87.33%,-78,-75
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08547|South Asian - Times of India - Video,1025457255,LI08547|South Asian - Times of India - Video,23446705905,08/02/2026,CA01376,56461238,859,859,4,0.47%,37.52776,34.271927,790,543,341,180,600,75.95%,636,780,81.54%,-79,-69
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08548|South Asian - Hindustan Times - Video,1025799526,LI08548|South Asian - Hindustan Times - Video,23456212231,08/02/2026,CA01376,56461238,958,958,5,0.52%,41.512598,37.911048,876,577,458,372,679,77.51%,739,885,83.50%,-73,-82
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08549|South Asian - Indian Express - Video,1025459310,LI08549|South Asian - Indian Express - Video,23446706604,08/02/2026,CA01376,56461238,1013,1013,4,0.39%,49.222652,44.952194,917,719,615,557,781,85.17%,745,955,78.01%,-58,-96
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08550|South Asian - India Times  - Video,1025455881,LI08550|South Asian - India Times  - Video,23446708989,08/02/2026,CA01376,56461238,969,969,5,0.52%,41.184285,37.611219,896,496,233,123,728,81.25%,751,910,82.53%,-59,-73
CL00003,784915671,INR,IO01420|PMP - Maccas El Maco Campaign Jan'26 to Feb'26 IO|LI08551|South Asian - ESPN Cric Info - Video,1025381291,LI08551|South Asian - ESPN Cric Info - Video,23446708698,08/02/2026,CA01376,56461238,880,880,4,0.45%,45.798204,41.824844,802,754,641,554,662,82.54%,624,784,79.59%,-96,-78
CL00003,784915671,INR,IO01421|MPN - EV Fleets Incentive Campaign Feb'26 to Apr'26 IO|LI08544|Mandarin - Banner,1025375075,LI08544|Mandarin - Banner,23446289658,08/02/2026,CA01377,56465033,10334,10334,47,0.45%,333.507185,304.572772,0,0,0,0,0,0.00%,8693,10214,85.11%,-120,0
CL00003,784915671,INR,IO01421|MPN - EV Fleets Incentive Campaign Feb'26 to Apr'26 IO|LI08545|Arabic - Banner,1025453628,LI08545|Arabic - Banner,23451309725,08/02/2026,CA01377,56465033,10294,10294,54,0.52%,366.292423,334.513628,0,0,0,0,0,0.00%,8387,10106,82.99%,-188,0
CL00003,784915671,INR,IO01422|MPN - NINTEINCONOS250403 - Nintendo - Switch 2 Campaign Jan'26 to Feb'26 IO|LI08552|Chinese - Mega Gaten - Video,1025402900,LI08552|Chinese - Mega Gaten - Video,23449806165,08/02/2026,CA01378,56468351,2912,2912,13,0.45%,120.847011,110.362567,2852,2545,2383,2247,2149,75.35%,2244,2851,78.71%,-61,-60
CL00003,784915671,INR,IO01422|MPN - NINTEINCONOS250403 - Nintendo - Switch 2 Campaign Jan'26 to Feb'26 IO|LI08553|Chinese - Nanna Stop Party - Video,1025812777,LI08553|Chinese - Nanna Stop Party - Video,23459373082,08/02/2026,CA01378,56468351,2913,2913,11,0.38%,119.786983,109.394505,2854,2528,2357,2207,2236,78.35%,2409,2847,84.62%,-66,-59
CL00003,784915671,INR,IO01426|NSW Gov - AGNSW X RON MUECK Campaign Jan'26 to Apr'26 IO|LI08566|Cantonese Banner,1025534538,LI08566|Cantonese Banner,23467443331,08/02/2026,CA01382,56483626,8246,8246,39,0.47%,306.24395,279.67484,0,0,0,0,0,0.00%,7163,8145,87.94%,-101,0
CL00003,784915671,INR,IO01426|NSW Gov - AGNSW X RON MUECK Campaign Jan'26 to Apr'26 IO|LI08567|Japanese Banner,1025879071,LI08567|Japanese Banner,23457811653,08/02/2026,CA01382,56483626,9731,9731,47,0.48%,340.540241,310.995654,0,0,0,0,0,0.00%,7645,9624,79.44%,-107,0
CL00003,784915671,INR,IO01427|DPHI - Penrith Beach Season 3 Campaign Jan'26 to Feb'26 IO|LI08568|Arabic Banner,1025878765,LI08568|Arabic Banner,23457761262,08/02/2026,CA01383,56486671,7443,7443,36,0.48%,257.203406,234.888955,0,0,0,0,0,0.00%,5704,7271,78.45%,-172,0
CL00003,784915671,INR,IO01431|Zee5 - City of Melbourne - OITC Summer 2026 Campaign Jan'26 to Mar'26 IO|LI08584|Indian - 15s Video,1025526209,LI08584|Indian - 15s Video,23475800612,08/02/2026,CA01385,56492656,5680,5680,24,0.42%,448.132025,409.252991,5523,499,328,260,4380,79.30%,4561,5481,83.21%,-199,-157
CL00003,784915671,INR,IO01433|City of Melbourne - OITC Summer Campaign Jan'26 to Mar'26 IO|LI08587|Mandarin - OITCOC - Banner,1025544176,LI08587|Mandarin - OITCOC - Banner,23484042166,08/02/2026,CA01387,56489087,1505,1505,6,0.40%,51.726956,47.239229,0,0,0,0,0,0.00%,1248,1449,86.13%,-56,0
CL00003,784915671,INR,IO01433|City of Melbourne - OITC Summer Campaign Jan'26 to Mar'26 IO|LI08588|Hindi Banner,1025974678,LI08588|Hindi Banner,23484047038,08/02/2026,CA01387,56489087,1788,1788,8,0.45%,65.439458,59.762062,0,0,0,0,0,0.00%,1285,1701,75.54%,-87,0
CL00003,784915671,INR,IO01433|City of Melbourne - OITC Summer Campaign Jan'26 to Mar'26 IO|LI08589|Vietnamese - OTIC - Banner,1025629665,LI08589|Vietnamese - OTIC - Banner,23474388945,08/02/2026,CA01387,56489087,584,584,3,0.51%,21.95311,20.048502,0,0,0,0,0,0.00%,384,505,76.04%,-79,0
CL00003,784915671,INR,IO01433|City of Melbourne - OITC Summer Campaign Jan'26 to Mar'26 IO|LI08590|Korean - OITCOC - Banner,1025629113,LI08590|Korean - OITCOC - Banner,23479432742,08/02/2026,CA01387,56489087,657,657,3,0.46%,20.500975,18.722352,0,0,0,0,0,0.00%,498,570,87.37%,-87,0
CL00003,784915671,INR,IO01433|City of Melbourne - OITC Summer Campaign Jan'26 to Mar'26 IO|LI08602|Mandarin - Celebration - Banner,1025994616,LI08602|Mandarin - Celebration - Banner,23482460387,08/02/2026,CA01387,56489087,857,857,4,0.47%,27.760247,25.351824,0,0,0,0,0,0.00%,663,796,83.29%,-61,0
CL00003,784915671,INR,IO01433|City of Melbourne - OITC Summer Campaign Jan'26 to Mar'26 IO|LI08604|Korean - Celebration - Banner,1025995861,LI08604|Korean - Celebration - Banner,23487113932,08/02/2026,CA01387,56489087,301,301,1,0.33%,10.697114,9.769054,0,0,0,0,0,0.00%,250,296,84.46%,-5,0
CL00003,784915671,INR,IO01433|City of Melbourne - OITC Summer Campaign Jan'26 to Mar'26 IO|LI08725|Punjabi Banner,1025696084,LI08725|Punjabi Banner,23499196068,08/02/2026,CA01387,56489087,2029,2029,11,0.54%,59.721773,54.540432,0,0,0,0,0,0.00%,1533,1961,78.17%,-68,0
CL00003,784915671,INR,IO01433|City of Melbourne - OITC Summer Campaign Jan'26 to Mar'26 IO|LI08726|Vietnamese - Celebretion - Banner,1025695109,LI08726|Vietnamese - Celebretion - Banner,23499213591,08/02/2026,CA01387,56489087,617,617,3,0.49%,23.12642,21.120018,0,0,0,0,0,0.00%,428,538,79.55%,-79,0
CL00003,784915671,INR,IO01435|DCCEEW - Summer Energy Efficiency Campaign Jan'25 to Feb'26 IO|LI08597|Cantonese - Banner,1025647074,LI08597|Cantonese - Banner,23477293158,08/02/2026,CA01389,56492903,5111,5111,19,0.37%,209.969774,191.753218,0,0,0,0,0,0.00%,4425,4978,88.89%,-133,0
CL00003,784915671,INR,IO01435|DCCEEW - Summer Energy Efficiency Campaign Jan'25 to Feb'26 IO|LI08598|Mandarin - Banner,1025566118,LI08598|Mandarin - Banner,23482329518,08/02/2026,CA01389,56492903,5318,5318,29,0.55%,173.299099,158.264017,0,0,0,0,0,0.00%,4165,5165,80.64%,-153,0
CL00003,784915671,INR,IO01435|DCCEEW - Summer Energy Efficiency Campaign Jan'25 to Feb'26 IO|LI08599|Arabic - Banner,1025645412,LI08599|Arabic - Banner,23477293437,08/02/2026,CA01389,56492903,5296,5296,25,0.47%,193.265265,176.497959,0,0,0,0,0,0.00%,4107,5156,79.65%,-140,0
CL00003,784915671,INR,IO01435|DCCEEW - Summer Energy Efficiency Campaign Jan'25 to Feb'26 IO|LI08600|Vietnamese - Banner,1025645409,LI08600|Vietnamese - Banner,23486984347,08/02/2026,CA01389,56492903,5535,5535,28,0.51%,206.790925,188.85016,0,0,0,0,0,0.00%,4788,5388,88.86%,-147,0
CL00003,784915671,INR,IO01435|DCCEEW - Summer Energy Efficiency Campaign Jan'25 to Feb'26 IO|LI08601|Korean - Banner,1025645415,LI08601|Korean - Banner,23482331243,08/02/2026,CA01389,56492903,5713,5713,28,0.49%,176.658205,161.331694,0,0,0,0,0,0.00%,4410,5514,79.98%,-199,0
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08615|MPN - Priority - ACT - Indian - Community - Video,1026000148,LI08615|MPN - Priority - ACT - Indian - Community - Video,23483355026,08/02/2026,CA01221,56068715,510,510,2,0.39%,20.575362,18.790285,447,363,311,274,365,81.66%,351,421,83.37%,-89,-63
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08616|MPN - Priority - ACT - Pakistan - Community - Video,1025574584,LI08616|MPN - Priority - ACT - Pakistan - Community - Video,23483389628,08/02/2026,CA01221,56068715,535,535,2,0.37%,20.329996,18.566206,451,420,373,284,386,85.59%,374,485,77.11%,-50,-84
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08617|MPN - Priority - ACT - Srilanka - Community - Video,1025574587,LI08617|MPN - Priority - ACT - Srilanka - Community - Video,23483391275,08/02/2026,CA01221,56068715,523,523,2,0.38%,18.366624,16.773173,462,406,352,324,385,83.33%,366,452,80.97%,-71,-61
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08618|MPN - Secondary - NSW - Indian - Community - Video,1026001795,LI08618|MPN - Secondary - NSW - Indian - Community - Video,23483391107,08/02/2026,CA01221,56068715,249,249,1,0.40%,9.978057,9.112381,230,203,178,167,184,80.00%,195,240,81.25%,-9,-19
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08619|MPN - Secondary - NSW - Pakistan - Community - Video,1025999749,LI08619|MPN - Secondary - NSW - Pakistan - Community - Video,23483397092,08/02/2026,CA01221,56068715,248,248,1,0.40%,8.906962,8.134212,232,234,205,148,205,88.36%,196,241,81.33%,-7,-16
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08620|MPN - Secondary - NSW - Srilanka - Community - Video,1025573345,LI08620|MPN - Secondary - NSW - Srilanka - Community - Video,23478351996,08/02/2026,CA01221,56068715,252,252,1,0.40%,9.172731,8.376923,239,211,185,169,194,81.17%,209,248,84.27%,-4,-13
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08621|MPN - Secondary - VIC - Indian - Community - Video,1025573327,LI08621|MPN - Secondary - VIC - Indian - Community - Video,23488049185,08/02/2026,CA01221,56068715,251,251,1,0.40%,9.827102,8.974522,239,216,191,164,194,81.17%,193,250,77.20%,-1,-12
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08622|MPN - Secondary - VIC - Pakistan - Community - Video,1025652558,LI08622|MPN - Secondary - VIC - Pakistan - Community - Video,23478352227,08/02/2026,CA01221,56068715,219,219,1,0.46%,7.863001,7.180823,200,194,177,128,168,84.00%,186,213,87.32%,-6,-19
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08623|MPN - Secondary - VIC - Srilanka - Community - Video,1026000181,LI08623|MPN - Secondary - VIC - Srilanka - Community - Video,23483398499,08/02/2026,CA01221,56068715,250,250,1,0.40%,8.802732,8.039025,249,210,188,173,195,78.31%,194,242,80.17%,-8,-1
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08624|MPN - Priority - ACT - Indian - Connection - Video,1025987644,LI08624|MPN - Priority - ACT - Indian - Connection - Video,23478343836,08/02/2026,CA01221,56068715,471,471,2,0.42%,18.892152,17.253107,460,376,323,289,371,80.65%,359,460,78.04%,-11,-11
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08625|MPN - Priority - ACT - Pakistan - Video - Connection - Video,1025997991,LI08625|MPN - Priority - ACT - Pakistan - Video - Connection - Video,23478344556,08/02/2026,CA01221,56068715,490,490,2,0.41%,18.585115,16.972708,476,389,336,237,371,77.94%,365,486,75.10%,-4,-14
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08626|MPN - Priority - ACT - Srilanka - Video - Connection - Video,1025999746,LI08626|MPN - Priority - ACT - Srilanka - Video - Connection - Video,23483397779,08/02/2026,CA01221,56068715,510,510,2,0.39%,20.479229,18.702492,417,379,328,293,369,88.49%,309,411,75.18%,-99,-93
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08627|MPN - Secondary - NSW - Indian - Connection - Video,1025572106,LI08627|MPN - Secondary - NSW - Indian - Connection - Video,23488056394,08/02/2026,CA01221,56068715,251,251,1,0.40%,10.247583,9.358523,236,198,169,146,189,80.08%,187,245,76.33%,-6,-15
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08628|MPN - Secondary - NSW - Pakistan - Connection - Video,1025573822,LI08628|MPN - Secondary - NSW - Pakistan - Connection - Video,23483392781,08/02/2026,CA01221,56068715,254,254,1,0.39%,9.199243,8.401135,238,223,188,154,182,76.47%,209,251,83.27%,-3,-16
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08629|MPN - Secondary - NSW - Srilanka - Connection - Video,1025656170,LI08629|MPN - Secondary - NSW - Srilanka - Connection - Video,23478352071,08/02/2026,CA01221,56068715,251,251,1,0.40%,9.393501,8.57854,235,197,175,160,194,82.55%,200,246,81.30%,-5,-16
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08630|MPN - Secondary - VIC - Indian - Connection - Video,1025573828,LI08630|MPN - Secondary - VIC - Indian - Connection - Video,23483392292,08/02/2026,CA01221,56068715,251,251,1,0.40%,10.205455,9.32005,239,207,181,160,210,87.87%,208,248,83.87%,-3,-12
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08631|MPN - Secondary - VIC - Pakistan - Connection - Video,1025572877,LI08631|MPN - Secondary - VIC - Pakistan - Connection - Video,23488055923,08/02/2026,CA01221,56068715,184,184,1,0.54%,6.720314,6.137273,173,156,126,74,147,84.97%,158,180,87.78%,-4,-11
CL00003,784915671,INR,IO01436|MPN - Ginninderry Property - Q1 - 2026 Campaign Jan'25 to Mar'26 IO|LI08632|MPN - Secondary - VIC - Srilanka - Connection - Video,1025997415,LI08632|MPN - Secondary - VIC - Srilanka - Connection - Video,23478350568,08/02/2026,CA01221,56068715,251,251,1,0.40%,8.410478,7.680802,244,194,166,148,199,81.56%,197,242,81.40%,-9,-7
CL00003,784915671,INR,IO01440|MPN & TVBJ - Cancer Institute - CI Breastscreen Campaign Feb'26 to Mar'26 IO|LI08645|TVBJ - Cantonese - 15 Sec - Instream,1025623625,LI08645|TVBJ - Cantonese - 15 Sec - Instream,23486361045,08/02/2026,CA01394,56525076,13136,13136,70,0.53%,1057.335587,965.603276,12959,9784,8697,8000,11525,88.93%,11386,12954,87.90%,-182,-177
CL00003,784915671,INR,IO01440|MPN & TVBJ - Cancer Institute - CI Breastscreen Campaign Feb'26 to Mar'26 IO|LI08646|MPN - Cantonese - 15 Sec - Instream,1025624792,LI08646|MPN - Cantonese - 15 Sec - Instream,23486375664,08/02/2026,CA01394,56525076,17210,17210,65,0.38%,687.745824,628.078378,17077,15351,14287,13145,14180,83.04%,13334,17104,77.96%,-106,-133
CL00003,784915671,INR,IO01441|MPN - VIC GOV - Creative Victoria MAPCO Open Air Campaign Jan'26 to Feb'26 IO|LI08647|Mandarin - Banner,1025708550,LI08647|Mandarin - Banner,23485596177,08/02/2026,CA01395,56524299,11283,11283,49,0.43%,366.707258,334.892473,0,0,0,0,0,0.00%,9115,11104,82.09%,-179,0
CL00003,784915671,INR,IO01441|MPN - VIC GOV - Creative Victoria MAPCO Open Air Campaign Jan'26 to Feb'26 IO|LI08648|Vietnamese - Banner,1025708850,LI08648|Vietnamese - Banner,23495375752,08/02/2026,CA01395,56524299,10412,10412,48,0.46%,393.997205,359.814799,0,0,0,0,0,0.00%,8875,10243,86.64%,-169,0
CL00003,784915671,INR,IO01443|Zee5 - Visit Victoria- VV - EBD Drive H2 Campaign Jan'26 to Jun'26 IO|LI08670|Zee5 - Hindi - 15 Sec - One,1025626724,LI08670|Zee5 - Hindi - 15 Sec - One,23496547660,08/02/2026,CA01397,56503796,1235,1235,6,0.49%,51.324832,46.871993,1160,592,265,135,1025,88.36%,902,1146,78.71%,-89,-75
CL00003,784915671,INR,IO01443|Zee5 - Visit Victoria- VV - EBD Drive H2 Campaign Jan'26 to Jun'26 IO|LI08671|Zee5 - Hindi - 15 Sec -Two,1025715324,LI08671|Zee5 - Hindi - 15 Sec -Two,23491808525,08/02/2026,CA01397,56503796,1311,1311,5,0.38%,54.370815,49.653712,1217,564,247,140,916,75.27%,944,1236,76.38%,-75,-94
CL00003,784915671,INR,IO01444|MPN - City of Sydney - Sydney Lunar Festival 2026 Campaign Jan'26 to Feb'26 IO|LI08672|MPN - Korean - 15Sec,1025716116,LI08672|MPN - Korean - 15Sec,23491849349,08/02/2026,CA01398,56525112,5279,5279,23,0.44%,206.80499,188.863005,5152,4403,4078,3822,4018,77.99%,4389,5162,85.03%,-117,-127
CL00003,784915671,INR,IO01444|MPN - City of Sydney - Sydney Lunar Festival 2026 Campaign Jan'26 to Feb'26 IO|LI08673|MPN - Thai - 15Sec,1025714694,LI08673|MPN - Thai - 15Sec,23491850147,08/02/2026,CA01398,56525112,4287,4287,20,0.47%,168.400839,153.790721,4167,3741,3475,3199,3362,80.68%,3686,4172,88.35%,-115,-120
CL00003,784915671,INR,IO01444|MPN - City of Sydney - Sydney Lunar Festival 2026 Campaign Jan'26 to Feb'26 IO|LI08674|MPN - Vietnamese - 15Sec,1025715384,LI08674|MPN - Vietnamese - 15Sec,23491854236,08/02/2026,CA01398,56525112,4191,4191,16,0.38%,175.774999,160.525113,4063,3823,3588,3406,3214,79.10%,3553,4005,88.71%,-186,-128
CL00003,784915671,INR,IO01445|MPN - Visit Victoria- VV - EBD Drive H2 Campaign Jan'26 to Jun'26 IO|LI08675|Chinese - Video - One,1025714799,LI08675|Chinese - Video - One,23491913930,08/02/2026,CA01399,56525127,2665,2665,12,0.45%,113.031126,103.224773,2589,2355,2200,2032,2057,79.45%,1997,2597,76.90%,-68,-76
CL00003,784915671,INR,IO01445|MPN - Visit Victoria- VV - EBD Drive H2 Campaign Jan'26 to Jun'26 IO|LI08676|Hindi - Video - One,1025628242,LI08676|Hindi - Video - One,23491913993,08/02/2026,CA01399,56525127,3089,3089,13,0.42%,137.237097,125.330682,2951,1880,1319,1094,2390,80.99%,2583,2972,86.91%,-117,-138
CL00003,784915671,INR,IO01445|MPN - Visit Victoria- VV - EBD Drive H2 Campaign Jan'26 to Jun'26 IO|LI08677|Vietnamese - Video - One,1025628518,LI08677|Vietnamese - Video - One,23491916819,08/02/2026,CA01399,56525127,3396,3396,17,0.50%,142.553811,130.186129,3241,3055,2843,2696,2553,78.77%,2791,3218,86.73%,-178,-155
